"acc_y";"acc_z";"time_ms";"acc_x"
407;484;4101;-778
412;484;4105;-778
383;459;4110;-769
405;481;4115;-764
405;481;4120;-764
405;481;4125;-776
409;483;4130;-776
398;450;4135;-767
398;450;4140;-767
398;450;4144;-760
398;450;4149;-760
407;480;4154;-760
414;483;4159;-771
399;453;4164;-771
399;453;4169;-784
399;453;4174;-756
402;481;4179;-756
412;483;4183;-756
412;483;4188;-769
412;483;4193;-778
412;483;4198;-778
397;459;4203;-778
381;454;4208;-778
381;454;4213;-752
414;485;4218;-767
414;485;4222;-780
398;463;4227;-780
398;463;4232;-780
379;454;4237;-766
379;454;4242;-772
379;454;4247;-772
410;485;4252;-772
410;485;4257;-772
400;461;4261;-785
384;449;4266;-772
384;449;4271;-772
384;449;4276;-768
401;480;4281;-785
408;459;4286;-785
408;459;4291;-785
408;459;4296;-785
408;459;4300;-775
390;444;4305;-775
404;477;4310;-754
409;462;4315;-781
409;462;4320;-781
386;447;4325;-771
386;447;4330;-771
386;447;4335;-771
386;447;4339;-754
398;477;4344;-754
398;477;4349;-782
415;483;4354;-782
382;449;4359;-773
382;449;4364;-773
393;483;4369;-760
393;483;4374;-768
393;483;4378;-768
413;486;4383;-768
413;486;4388;-779
385;447;4393;-759
385;447;4398;-759
394;484;4403;-759
394;484;4408;-759
408;483;4413;-772
406;473;4417;-781
406;473;4422;-746
406;473;4427;-746
396;479;4432;-746
415;483;4437;-765
415;483;4442;-789
415;483;4447;-789
415;483;4452;-789
403;475;4456;-789
392;472;4461;-747
416;484;4466;-762
416;484;4471;-762
416;484;4476;-785
405;474;4481;-785
381;448;4486;-753
381;448;4491;-753
381;448;4495;-751
381;448;4500;-751
417;486;4505;-751
412;470;4510;-785
412;448;4515;-785
389;448;4520;-787
389;448;4525;-754
410;478;4529;-754
410;476;4534;-754
422;476;4539;-775
422;476;4544;-784
422;476;4549;-784
387;444;4554;-784
387;461;4559;-784
389;461;4564;-760
417;482;4568;-772
417;482;4573;-783
417;447;4578;-783
397;447;4583;-760
386;457;4588;-760
